Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2018-07-18T23:00:00.074Z,7359.737018,7316.147712,7581.570739,7245.303111
BTC,2018-07-19T22:59:59.390Z,7484.63967,7359.737036,7557.513087,7282.772794
BTC,2018-07-20T23:00:00.239Z,7357.445677,7484.639663,7697.005345,7281.406498
BTC,2018-07-21T23:00:00.155Z,7424.734238,7337.282091,7456.464384,7215.327022
BTC,2018-07-22T23:00:00.021Z,7411.200525,7424.503503,7571.740451,7341.523165
BTC,2018-07-23T23:00:00.112Z,7730.24748,7400.464661,7805.491249,7374.251359
BTC,2018-07-24T23:00:00.709Z,8325.801534,7730.248177,8359.319474,7695.982837
BTC,2018-07-25T23:00:00.584Z,8271.59792,8320.159947,8486.01168,8056.018565
BTC,2018-07-26T23:00:00.173Z,7925.247396,8269.532335,8313.126681,7914.600936
BTC,2018-07-27T23:00:00.963Z,8254.277348,7933.125251,8277.703662,7801.009443
BTC,2018-07-28T22:59:59.507Z,8184.695535,8182.375003,8233.482102,8063.326116
BTC,2018-07-29T23:00:00.230Z,8201.89009,8184.696086,8292.515658,8119.71331
BTC,2018-07-30T22:59:59.677Z,8166.38836,8215.215969,8274.533757,7862.074283
BTC,2018-07-31T23:00:00.541Z,7700.834129,8166.688399,8198.484617,7666.290884
BTC,2018-08-01T23:00:00.095Z,7588.58618,7732.347291,7751.87765,7440.241506
BTC,2018-08-02T23:00:00.182Z,7547.314951,7589.374917,7698.487139,7460.295
BTC,2018-08-03T22:59:59.699Z,7423.074378,7527.040399,7533.667263,7271.202487
BTC,2018-08-04T23:00:00.160Z,7396.041122,7423.075093,7501.316029,7359.236813
BTC,2018-08-05T23:00:00.090Z,7411.515299,7395.622456,7413.130811,7386.062077
BTC,2018-08-06T22:59:59.932Z,7402.336634,7411.5153,7417.408688,7401.375071
BTC,2018-08-07T23:00:00.307Z,6748.441484,7402.336631,7412.287461,6678.28556
BTC,2018-08-08T23:00:00.794Z,6460.153155,6721.43509,6750.408312,6396.088336
BTC,2018-08-09T23:00:00.465Z,6482.973449,6460.153697,6483.498065,6455.990701
BTC,2018-08-10T23:00:00.654Z,6092.533104,6482.968724,6494.016385,6008.854855
BTC,2018-08-11T23:00:00.161Z,6391.599258,6101.856478,6473.271658,5982.215632
BTC,2018-08-12T22:59:59.504Z,6338.738957,6392.972745,6450.72431,6147.760509
BTC,2018-08-13T22:59:59.990Z,6260.192995,6338.738903,6532.599017,6150.224816
BTC,2018-08-14T22:59:59.927Z,6123.447601,6256.844082,6285.55769,5884.779259
BTC,2018-08-15T22:59:59.810Z,6332.6069,6186.971207,6587.317958,6180.25542
BTC,2018-08-16T23:00:00.352Z,6273.88807,6332.6069,6467.86245,6210.161423
BTC,2018-08-17T23:00:00.346Z,6566.595283,6277.041776,6572.931093,6259.389957
BTC,2018-08-18T22:59:59.677Z,6396.946369,6559.693837,6616.676752,6300.114994
BTC,2018-08-19T22:59:59.721Z,6516.668382,6391.086269,6539.964724,6302.207382
BTC,2018-08-20T22:59:59.887Z,6299.395333,6516.772572,6523.486097,6280.326328
BTC,2018-08-21T23:00:00.063Z,6470.733567,6252.328859,6494.665011,6240.901886
BTC,2018-08-22T22:59:59.993Z,6355.881809,6470.074511,6882.835906,6250.653823
BTC,2018-08-23T22:59:59.910Z,6503.832362,6360.216985,6559.279489,6347.079538
BTC,2018-08-24T22:59:59.068Z,6675.360683,6525.526663,6711.493665,6456.798837
BTC,2018-08-25T22:59:59.952Z,6725.032327,6683.354502,6781.075889,6657.387532
BTC,2018-08-26T22:59:59.890Z,6689.822683,6725.032327,6776.896406,6570.729822
BTC,2018-08-27T23:00:00.943Z,6756.628926,6702.39195,6768.305515,6646.168014
BTC,2018-08-28T22:59:59.652Z,7084.293617,6753.31045,7126.730535,6739.190715
BTC,2018-08-29T22:59:59.240Z,7059.231235,7079.540613,7133.646631,6923.645531
BTC,2018-08-30T23:00:00.137Z,6938.914582,7040.075012,7063.44051,6805.198514
BTC,2018-08-31T22:59:59.865Z,7028.447312,6938.762942,7089.1748,6877.286733
BTC,2018-09-01T22:59:59.404Z,7198.058436,7028.447311,7273.526925,7002.341106
BTC,2018-09-02T22:59:59.965Z,7282.858514,7198.057948,7339.812044,7130.172251
BTC,2018-09-03T22:59:59.783Z,7260.251593,7282.231751,7335.455082,7198.264981
BTC,2018-09-04T22:59:59.331Z,7361.271864,7263.067297,7417.667037,7240.376738
BTC,2018-09-05T22:59:59.788Z,6913.115013,7359.974361,7399.538604,6860.772764
BTC,2018-09-06T23:00:00.373Z,6471.493884,6913.115013,6927.094091,6301.93633
BTC,2018-09-07T22:59:59.654Z,6400.268706,6515.39349,6539.798813,6318.952229
