DATE,DEXUSEU
1/22/2016,1.0814
1/25/2016,1.0832
1/26/2016,1.0846
1/27/2016,1.0867
1/28/2016,1.0952
1/29/2016,1.0832
2/1/2016,1.0888
2/2/2016,1.0908
2/3/2016,1.1051
2/4/2016,1.1199
2/5/2016,1.1131
2/8/2016,1.117
2/9/2016,1.13
2/10/2016,1.1222
2/11/2016,1.1362
2/12/2016,1.1235
2/15/2016,.
2/16/2016,1.114
2/17/2016,1.114
2/18/2016,1.1092
2/19/2016,1.1127
2/22/2016,1.1018
2/23/2016,1.1016
2/24/2016,1.1021
2/25/2016,1.1026
2/26/2016,1.0932
2/29/2016,1.0868
3/1/2016,1.0847
3/2/2016,1.0845
3/3/2016,1.0948
3/4/2016,1.101
3/7/2016,1.1004
3/8/2016,1.1028
3/9/2016,1.1022
3/10/2016,1.1162
3/11/2016,1.118
3/14/2016,1.1107
3/15/2016,1.1112
3/16/2016,1.1075
3/17/2016,1.1316
3/18/2016,1.1292
3/21/2016,1.126
3/22/2016,1.1228
3/23/2016,1.1174
3/24/2016,1.1163
3/25/2016,1.1164
3/28/2016,1.121
3/29/2016,1.1204
3/30/2016,1.133
3/31/2016,1.139
4/1/2016,1.1385
4/4/2016,1.1386
4/5/2016,1.1374
4/6/2016,1.143
4/7/2016,1.1386
4/8/2016,1.1406
4/11/2016,1.1412
4/12/2016,1.1395
4/13/2016,1.1281
4/14/2016,1.1262
4/15/2016,1.1295
4/18/2016,1.1322
4/19/2016,1.1375
4/20/2016,1.133
4/21/2016,1.1301
4/22/2016,1.1239
4/25/2016,1.1274
4/26/2016,1.1318
4/27/2016,1.1322
4/28/2016,1.1325
4/29/2016,1.1441
5/2/2016,1.1516
5/3/2016,1.1508
5/4/2016,1.1486
5/5/2016,1.1404
5/6/2016,1.1421
5/9/2016,1.1402
5/10/2016,1.1386
5/11/2016,1.1444
5/12/2016,1.138
5/13/2016,1.1294
5/16/2016,1.1328
5/17/2016,1.1337
5/18/2016,1.1276
5/19/2016,1.1214
5/20/2016,1.1207
5/23/2016,1.1192
5/24/2016,1.1145
5/25/2016,1.1154
5/26/2016,1.1184
5/27/2016,1.114
5/30/2016,.
5/31/2016,1.1135
6/1/2016,1.1165
6/2/2016,1.1157
6/3/2016,1.133
6/6/2016,1.1354
6/7/2016,1.135
6/8/2016,1.14
6/9/2016,1.1329
6/10/2016,1.1281
6/13/2016,1.1282
6/14/2016,1.1206
6/15/2016,1.1239
6/16/2016,1.1158
6/17/2016,1.1256
6/20/2016,1.1318
6/21/2016,1.1262
6/22/2016,1.1286
6/23/2016,1.1373
6/24/2016,1.1126
6/27/2016,1.1024
6/28/2016,1.1054
6/29/2016,1.1117
6/30/2016,1.1032
7/1/2016,1.1145
7/4/2016,.
7/5/2016,1.108
7/6/2016,1.1077
7/7/2016,1.1065
7/8/2016,1.1038
7/11/2016,1.1045
7/12/2016,1.1074
7/13/2016,1.1112
7/14/2016,1.1109
7/15/2016,1.1059
7/18/2016,1.1076
7/19/2016,1.1014
7/20/2016,1.1007
7/21/2016,1.1016
7/22/2016,1.0968
7/25/2016,1.098
7/26/2016,1.0984
7/27/2016,1.0988
7/28/2016,1.1094
7/29/2016,1.1168
8/1/2016,1.1176
8/2/2016,1.1225
8/3/2016,1.117
8/4/2016,1.1134
8/5/2016,1.108
8/8/2016,1.1078
8/9/2016,1.111
